filename,stat,value
script_indiana-jones-and-the-last-crusade_1989.txt,adv_verb_ratio,0.2517348648001914
script_indiana-jones-and-the-temple-of-doom_1984.txt,adv_verb_ratio,0.25680933852140075
script_la-la-land_2016.txt,adv_verb_ratio,0.2869744192884446
script_lara-croft-tomb-raider_2001.txt,adv_verb_ratio,0.3270555810748737
script_national-treasure_2004.txt,adv_verb_ratio,0.276469243082552
script_office-space_1999.txt,adv_verb_ratio,0.2950432730133753
script_raiders-of-the-lost-ark_1981.txt,adv_verb_ratio,0.2732084690553746
script_the-mummy_1999.txt,adv_verb_ratio,0.3289564616447823
script_titanic_1997.txt,adv_verb_ratio,0.26957095709570955
min,adv_verb_ratio,0.2517348648001914
25%,adv_verb_ratio,0.26957095709570955
50%,adv_verb_ratio,0.276469243082552
75%,adv_verb_ratio,0.2950432730133753
max,adv_verb_ratio,0.3289564616447823
mean,adv_verb_ratio,0.285091400841856
std,adv_verb_ratio,0.027741406084148035
